"","state","state_abb","apps","region"
"1","alabama","AL",11200,"alabama"
"2","alaska","AK",2205,"alaska"
"3","arizona","AZ",20412,"arizona"
"4","arkansas","AR",6640,"arkansas"
"5","california","CA",129517,"california"
"6","colorado","CO",18806,"colorado"
"7","connecticut","CT",13528,"connecticut"
"8","delaware","DE",2511,"delaware"
"9","district of columbia","DC",2432,"district of columbia"
"10","florida","FL",60933,"florida"
"11","georgia","GA",29084,"georgia"
"12","hawaii","HI",4570,"hawaii"
"13","idaho","ID",12,"idaho"
"14","illinois","IL",35476,"illinois"
"15","indiana","IN",13789,"indiana"
"16","iowa","IA",14,"iowa"
"17","kansas","KS",7925,"kansas"
"18","kentucky","KY",8550,"kentucky"
"19","louisiana","LA",10586,"louisiana"
"20","maine","ME",525,"maine"
"21","maryland","MD",21031,"maryland"
"22","massachusetts","MA",20588,"massachusetts"
"23","michigan","MI",22985,"michigan"
"24","minnesota","MN",15957,"minnesota"
"25","mississippi","MS",3819,"mississippi"
"26","missouri","MO",14206,"missouri"
"27","montana","MT",2558,"montana"
"28","nebraska","NE",1176,"nebraska"
"29","nevada","NV",12443,"nevada"
"30","new hampshire","NH",4294,"new hampshire"
"31","new jersey","NJ",33253,"new jersey"
"32","new mexico","NM",4939,"new mexico"
"33","new york","NY",74077,"new york"
"34","north carolina","NC",24720,"north carolina"
"35","north dakota","ND",479,"north dakota"
"36","ohio","OH",29630,"ohio"
"37","oklahoma","OK",8085,"oklahoma"
"38","oregon","OR",10893,"oregon"
"39","pennsylvania","PA",31393,"pennsylvania"
"40","rhode island","RI",3893,"rhode island"
"41","south carolina","SC",10639,"south carolina"
"42","south dakota","SD",1815,"south dakota"
"43","tennessee","TN",12887,"tennessee"
"44","texas","TX",71137,"texas"
"45","utah","UT",6264,"utah"
"46","vermont","VT",1797,"vermont"
"47","virginia","VA",26255,"virginia"
"48","washington","WA",19434,"washington"
"49","west virginia","WV",4386,"west virginia"
"50","wisconsin","WI",11574,"wisconsin"
"51","wyoming","WY",2028,"wyoming"
